Term,Estimate,SE,Model,OR,CI_low,CI_high,Category,Clean_Term
CAN_quint5,-0.30055361119692175,0.07389909038482917,Pooled GEE,0.7404082089238867,0.6405706698113137,0.8558061454848639,Medical Complexity,VA CAN Score (ref: Q1): Quintile 5
frail_cat22,-0.15232848209984448,0.04004178054126716,Pooled GEE,0.8587061648044781,0.7938899955657385,0.9288141702147912,Medical Complexity,Frailty (ref: Fit): Prefrail
frail_cat23,-0.3451310538061346,0.07242376485489421,Pooled GEE,0.7081275445765081,0.6144168742527546,0.8161309371553387,Medical Complexity,Frailty (ref: Fit): Mildly Frail
icu1,-0.14671664490119923,0.053654285117641844,Pooled GEE,0.863538630826843,0.777338756377896,0.9592972958211595,Medical Complexity,ICU Care (ref: No)
speciality_cat1,0.540745163428012,0.03446809820662349,Pooled GEE,1.7172860442814435,1.6051026179298575,1.8373101663040723,"Hospitalization
Factors",Speciality (ref: Med/Surg): Psychiatry
speciality_cat3,0.02249544802348505,0.07094205907545517,Pooled GEE,1.0227503786181458,0.8899847174886868,1.175321684079207,"Hospitalization
Factors",Speciality (ref: Med/Surg): Surgery
discharge_cat3,-0.8314337402410763,0.05939407234174125,Pooled GEE,0.4354245528724042,0.3875749141516905,0.48918166352203313,"Hospitalization
Factors",Discharge (ref: Routine): Domiciliary
oud_dx1,-0.2686219090316988,0.04726321226648244,Pooled GEE,0.7644322259367334,0.6967993369044198,0.8386297131777345,Substance Use History,OUD Diagnosis (ref: No)
hospital_addiction_consult1,0.23329727613001988,0.03914603676992434,Pooled GEE,1.2627568109938532,1.1694938449597672,1.3634571661779216,"Hospitalization
Factors",Addiction Consult (ref: None): Clinician
hospital_addiction_consult2,0.5256384544025055,0.08188054017581958,Pooled GEE,1.6915384738822477,1.440733841104354,1.9860034705859566,"Hospitalization
Factors",Addiction Consult (ref: None): Non-Clinician
age_cat22,-0.08129835356486909,0.1062002914476282,FedGEE,0.9219185927096506,0.7486745333601587,1.1352515061105624,Demographics,Age (ref: 18-39): 40-64
age_cat23,-0.2266356797208171,0.0984410211855524,FedGEE,0.7972111695858086,0.6573227840351598,0.9668699524013123,Demographics,Age (ref: 18-39): 65+
sex1,0.1923546379377191,0.11492241752890775,FedGEE,1.2121002975019692,0.9676418010558121,1.5183171392568042,Demographics,Sex (ref: Male): Female
race_cat3,-0.007128965151654823,0.0871454848677322,FedGEE,0.9928963856429966,0.8369975668447474,1.177832853611853,Demographics,Race/Ethnicity (ref: White): Black or African American
race_cat4,-0.13358312464352506,0.17545568077130885,FedGEE,0.8749547356541909,0.620347013107528,1.2340605713708805,Demographics,Race/Ethnicity (ref: White): Hispanic
